1549,0.04,7.61,0.00,0.00
1581,0.04,7.61,0.00,0.00
1613,0.04,7.61,0.00,0.00
1645,0.04,7.61,0.00,0.00
1678,0.04,7.61,0.00,0.00
1710,0.04,7.61,0.00,0.00
1742,0.04,7.61,0.00,0.00
1774,0.04,7.61,0.00,0.00
1807,0.04,7.61,0.00,0.00
1839,0.04,7.61,0.00,0.00
1871,0.04,7.61,0.00,0.00
1903,0.04,7.61,0.00,0.00
1936,0.04,7.61,0.00,0.00
1968,0.04,7.61,0.00,0.00
2000,0.04,7.61,0.00,0.00
2032,0.04,7.61,0.00,0.00
2065,0.04,7.61,0.00,0.00
2097,0.04,7.61,0.00,0.00
2129,0.04,7.61,0.00,0.00
2161,0.04,7.61,0.00,0.00
2194,0.04,7.61,0.00,0.00
2226,0.04,7.61,0.00,0.00
2258,0.04,7.61,0.00,0.00
2290,0.04,7.61,0.00,0.00
2323,0.04,7.61,0.00,0.00
2355,0.04,7.61,0.00,0.00
2387,0.04,7.61,0.00,0.00
2419,0.04,7.61,0.00,0.00
2452,0.04,7.61,0.00,0.00
2484,0.04,7.61,0.00,0.00
2516,0.04,7.61,0.00,0.00
2548,0.04,7.61,0.00,0.00
2581,0.04,7.61,0.00,0.00
2613,0.04,7.61,0.00,0.00
2646,0.04,7.61,0.00,0.00
2677,0.04,7.61,0.00,0.00
2710,0.04,7.61,0.00,0.00
2742,0.04,7.61,0.00,0.00
2775,0.04,7.61,0.00,0.00
2806,0.04,7.61,0.00,0.00
2839,0.04,7.61,0.00,0.00
2871,0.04,7.61,0.00,0.00
2904,0.04,7.61,0.00,0.00
2935,0.04,7.61,0.00,0.00
2968,0.04,7.61,0.00,0.00
3000,0.04,7.61,0.00,0.00
3033,0.04,7.61,0.00,0.00
3064,0.04,7.61,0.00,0.00
3097,0.04,7.61,0.00,0.00
3129,0.04,7.61,0.00,0.00
3162,0.04,7.61,0.00,0.00
3193,0.04,7.61,0.00,0.00
3226,0.04,7.61,0.00,0.00
3258,0.04,7.61,0.00,0.00
3291,0.04,7.61,0.00,0.00
3322,0.04,7.61,0.00,0.00
3355,0.04,7.61,0.00,0.00
3387,0.04,7.61,0.00,0.00
3420,0.04,7.61,0.00,0.00
3451,0.04,7.61,0.00,0.00
3484,0.04,7.61,0.00,0.00
3516,0.04,7.61,0.00,0.00
3549,0.04,7.61,0.00,0.00
3580,0.04,7.61,0.00,0.00
3613,0.04,7.61,0.00,0.00
3645,0.04,7.61,0.00,0.00
3678,0.04,7.61,0.00,0.00
3709,0.04,7.61,0.00,0.00
3742,0.04,7.61,0.00,0.00
